epsilon,anisotropy,block,family,method,ratio_kind,statistic,value
1.0,1.0,classical_families,weak,gs,complement,worst,0.4839160395663039
1.0,1.0,classical_families,weak,gs,complement,best,0.2870198973244966
1.0,1.0,classical_families,weak,gs,complement,frac_above_1,0.0
1.0,1.0,classical_families,weak,gs,complement,mean_squared_ratio,0.13451569386452608
1.0,1.0,classical_families,weak,sgs_ssor,full,n,24
1.0,1.0,classical_families,weak,sgs_ssor,full,mean,0.2230428650405761
1.0,1.0,classical_families,weak,sgs_ssor,full,median,0.22059197351926876
1.0,1.0,classical_families,weak,sgs_ssor,full,p95,0.3108577790146148
1.0,1.0,classical_families,weak,sgs_ssor,full,p99,0.3115837338556747
1.0,1.0,classical_families,weak,sgs_ssor,full,worst,0.3118005775094978
1.0,1.0,classical_families,weak,sgs_ssor,full,best,0.13179427573068514
1.0,1.0,classical_families,weak,sgs_ssor,full,frac_above_1,0.0
1.0,1.0,classical_families,weak,sgs_ssor,full,mean_squared_ratio,0.05442784466854992
1.0,1.0,classical_families,weak,sgs_ssor,complement,n,24
1.0,1.0,classical_families,weak,sgs_ssor,complement,mean,0.20243961679765543
1.0,1.0,classical_families,weak,sgs_ssor,complement,median,0.1956603751763558
1.0,1.0,classical_families,weak,sgs_ssor,complement,p95,0.3096175278377396
1.0,1.0,classical_families,weak,sgs_ssor,complement,p99,0.3102331774077416
1.0,1.0,classical_families,weak,sgs_ssor,complement,worst,0.31023317740774176
1.0,1.0,classical_families,weak,sgs_ssor,complement,best,0.12776005986092226
1.0,1.0,classical_families,weak,sgs_ssor,complement,frac_above_1,0.0
1.0,1.0,classical_families,weak,sgs_ssor,complement,mean_squared_ratio,0.04482220407909018
1.0,1.0,classical_families,survivor,jacobi,full,n,24
1.0,1.0,classical_families,survivor,jacobi,full,mean,0.6514073596447013
1.0,1.0,classical_families,survivor,jacobi,full,median,0.6432075288608323
1.0,1.0,classical_families,survivor,jacobi,full,p95,0.7682867186591258
1.0,1.0,classical_families,survivor,jacobi,full,p99,0.7734969210996687
1.0,1.0,classical_families,survivor,jacobi,full,worst,0.7736954017785247
1.0,1.0,classical_families,survivor,jacobi,full,best,0.5201248779995412
1.0,1.0,classical_families,survivor,jacobi,full,frac_above_1,0.0
1.0,1.0,classical_families,survivor,jacobi,full,mean_squared_ratio,0.4295361907482443
1.0,1.0,classical_families,survivor,jacobi,complement,n,24
1.0,1.0,classical_families,survivor,jacobi,complement,mean,0.630116328256631
1.0,1.0,classical_families,survivor,jacobi,complement,median,0.612433141588973
1.0,1.0,classical_families,survivor,jacobi,complement,p95,0.7605399918466508
1.0,1.0,classical_families,survivor,jacobi,complement,p99,0.7662508423590516
1.0,1.0,classical_families,survivor,jacobi,complement,worst,0.766630029248172
1.0,1.0,classical_families,survivor,jacobi,complement,best,0.48949698791743096
1.0,1.0,classical_families,survivor,jacobi,complement,frac_above_1,0.0
1.0,1.0,classical_families,survivor,jacobi,complement,mean_squared_ratio,0.40333549968421734
1.0,1.0,classical_families,survivor,gs,full,n,24
1.0,1.0,classical_families,survivor,gs,full,mean,0.5019897354016822
1.0,1.0,classical_families,survivor,gs,full,median,0.5069178435979209
1.0,1.0,classical_families,survivor,gs,full,p95,0.5914422618105369
1.0,1.0,classical_families,survivor,gs,full,p99,0.6182544693115892
1.0,1.0,classical_families,survivor,gs,full,worst,0.6247894274953071
1.0,1.0,classical_families,survivor,gs,full,best,0.4083523144201328
1.0,1.0,classical_families,survivor,gs,full,frac_above_1,0.0
1.0,1.0,classical_families,survivor,gs,full,mean_squared_ratio,0.25542987688376345
1.0,1.0,classical_families,survivor,gs,complement,n,24
1.0,1.0,classical_families,survivor,gs,complement,mean,0.45526908981040987
1.0,1.0,classical_families,survivor,gs,complement,median,0.45955716289275406
1.0,1.0,classical_families,survivor,gs,complement,p95,0.5454214279035501
1.0,1.0,classical_families,survivor,gs,complement,p99,0.567360074695735
1.0,1.0,classical_families,survivor,gs,complement,worst,0.5738288213596745
1.0,1.0,classical_families,survivor,gs,complement,best,0.34927576354798323
1.0,1.0,classical_families,survivor,gs,complement,frac_above_1,0.0
1.0,1.0,classical_families,survivor,gs,complement,mean_squared_ratio,0.21090155150417347
1.0,1.0,classical_families,survivor,sgs_ssor,full,n,24
1.0,1.0,classical_families,survivor,sgs_ssor,full,mean,0.3104392078036464
1.0,1.0,classical_families,survivor,sgs_ssor,full,median,0.30765417896903635
1.0,1.0,classical_families,survivor,sgs_ssor,full,p95,0.41815590715363327
1.0,1.0,classical_families,survivor,sgs_ssor,full,p99,0.44672032890404245
1.0,1.0,classical_families,survivor,sgs_ssor,full,worst,0.4536478651141773
1.0,1.0,classical_families,survivor,sgs_ssor,full,best,0.2072616128865042
1.0,1.0,classical_families,survivor,sgs_ssor,full,frac_above_1,0.0
1.0,1.0,classical_families,survivor,sgs_ssor,full,mean_squared_ratio,0.10107301585862168
1.0,1.0,classical_families,survivor,sgs_ssor,complement,n,24
1.0,1.0,classical_families,survivor,sgs_ssor,complement,mean,0.287027641502736
1.0,1.0,classical_families,survivor,sgs_ssor,complement,median,0.29505996832447023
1.0,1.0,classical_families,survivor,sgs_ssor,complement,p95,0.3784503460356341
1.0,1.0,classical_families,survivor,sgs_ssor,complement,p99,0.4129068232828197
1.0,1.0,classical_families,survivor,sgs_ssor,complement,worst,0.42180354369980444
1.0,1.0,classical_families,survivor,sgs_ssor,complement,best,0.19668832088599847
1.0,1.0,classical_families,survivor,sgs_ssor,complement,frac_above_1,0.0
1.0,1.0,classical_families,survivor,sgs_ssor,complement,mean_squared_ratio,0.08590011909958266
1.0,1.0,deeponet_families,gaussian,jacobi,full,n,24
1.0,1.0,deeponet_families,gaussian,jacobi,full,mean,0.392720298962795
1.0,1.0,deeponet_families,gaussian,jacobi,full,median,0.38990408743625105
1.0,1.0,deeponet_families,gaussian,jacobi,full,p95,0.40843403366983566
1.0,1.0,deeponet_families,gaussian,jacobi,full,p99,0.4140230049273418
1.0,1.0,deeponet_families,gaussian,jacobi,full,worst,0.4155483772501357
1.0,1.0,deeponet_families,gaussian,jacobi,full,best,0.3725803943371253
1.0,1.0,deeponet_families,gaussian,jacobi,full,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,jacobi,full,mean_squared_ratio,0.15434942703731713
1.0,1.0,deeponet_families,gaussian,jacobi,complement,n,24
1.0,1.0,deeponet_families,gaussian,jacobi,complement,mean,0.36262052515706555
1.0,1.0,deeponet_families,gaussian,jacobi,complement,median,0.36172813789273217
1.0,1.0,deeponet_families,gaussian,jacobi,complement,p95,0.38067957052599277
1.0,1.0,deeponet_families,gaussian,jacobi,complement,p99,0.38266263463575795
1.0,1.0,deeponet_families,gaussian,jacobi,complement,worst,0.38319704277144445
1.0,1.0,deeponet_families,gaussian,jacobi,complement,best,0.3423756776520938
1.0,1.0,deeponet_families,gaussian,jacobi,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,jacobi,complement,mean_squared_ratio,0.13161904735535754
1.0,1.0,deeponet_families,gaussian,gs,full,n,24
1.0,1.0,deeponet_families,gaussian,gs,full,mean,0.3344363710958824
1.0,1.0,deeponet_families,gaussian,gs,full,median,0.3332582300830744
1.0,1.0,deeponet_families,gaussian,gs,full,p95,0.34804003691786206
1.0,1.0,deeponet_families,gaussian,gs,full,p99,0.35010414745737484
1.0,1.0,deeponet_families,gaussian,gs,full,worst,0.3506359336749526
1.0,1.0,deeponet_families,gaussian,gs,full,best,0.31817792400963074
1.0,1.0,deeponet_families,gaussian,gs,full,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,gs,full,mean_squared_ratio,0.11191938286682207
1.0,1.0,deeponet_families,gaussian,gs,complement,n,24
1.0,1.0,deeponet_families,gaussian,gs,complement,mean,0.27339077802908157
1.0,1.0,deeponet_families,gaussian,gs,complement,median,0.2732125017526844
1.0,1.0,deeponet_families,gaussian,gs,complement,p95,0.2856677636472683
1.0,1.0,deeponet_families,gaussian,gs,complement,p99,0.2914339753867358
1.0,1.0,deeponet_families,gaussian,gs,complement,worst,0.293039222596678
1.0,1.0,deeponet_families,gaussian,gs,complement,best,0.2555090753028003
1.0,1.0,deeponet_families,gaussian,gs,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,gs,complement,mean_squared_ratio,0.07481797386086762
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,n,24
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,mean,0.16342085770517048
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,median,0.16244452273312981
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,p95,0.17380661107585996
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,p99,0.17423144190096976
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,worst,0.17427611954555824
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,best,0.15100508882162952
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,sgs_ssor,full,mean_squared_ratio,0.026749204040436094
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,n,24
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,mean,0.1450429892036973
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,median,0.14518921029985318
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,p95,0.1542889351552021
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,p99,0.15556563449893684
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,worst,0.1558534119184009
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,best,0.13256472406814265
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,sgs_ssor,complement,mean_squared_ratio,0.021069492266323268
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,n,24
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,mean,0.4133037028785241
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,median,0.41243347656443036
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,p95,0.4303294676127981
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,p99,0.4370312101852475
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,worst,0.4388507664944735
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,best,0.3968133886388542
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,deeponet_scale,full,mean_squared_ratio,0.17094857126538918
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,n,24
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,mean,0.3842483771373744
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,median,0.38512831340434694
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,p95,0.40314845695592655
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,p99,0.40622299123328165
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,worst,0.40686151597611264
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,best,0.36550702038747707
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,gaussian,deeponet_scale,complement,mean_squared_ratio,0.14775752126305167
1.0,1.0,deeponet_families,fourier,jacobi,full,n,24
1.0,1.0,deeponet_families,fourier,jacobi,full,mean,0.37910130158836375
1.0,1.0,deeponet_families,fourier,jacobi,full,median,0.4131013094103214
1.0,1.0,deeponet_families,fourier,jacobi,full,p95,0.4754196082424357
1.0,1.0,deeponet_families,fourier,jacobi,full,p99,0.4858133725485775
1.0,1.0,deeponet_families,fourier,jacobi,full,worst,0.4879470382782305
1.0,1.0,deeponet_families,fourier,jacobi,full,best,0.20432604035792182
1.0,1.0,deeponet_families,fourier,jacobi,full,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,jacobi,full,mean_squared_ratio,0.1499092753166168
1.0,1.0,deeponet_families,fourier,jacobi,complement,n,24
1.0,1.0,deeponet_families,fourier,jacobi,complement,mean,0.3495098620662957
1.0,1.0,deeponet_families,fourier,jacobi,complement,median,0.3701385947989162
1.0,1.0,deeponet_families,fourier,jacobi,complement,p95,0.4580509166955465
1.0,1.0,deeponet_families,fourier,jacobi,complement,p99,0.466851025191546
1.0,1.0,deeponet_families,fourier,jacobi,complement,worst,0.4690319358514665
1.0,1.0,deeponet_families,fourier,jacobi,complement,best,0.16406575572537493
1.0,1.0,deeponet_families,fourier,jacobi,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,jacobi,complement,mean_squared_ratio,0.1301054838554507
1.0,1.0,deeponet_families,fourier,gs,full,n,24
1.0,1.0,deeponet_families,fourier,gs,full,mean,0.31377577551372315
1.0,1.0,deeponet_families,fourier,gs,full,median,0.3228969521791968
1.0,1.0,deeponet_families,fourier,gs,full,p95,0.39669631440621017
1.0,1.0,deeponet_families,fourier,gs,full,p99,0.4092067247162348
1.0,1.0,deeponet_families,fourier,gs,full,worst,0.4119594464621562
1.0,1.0,deeponet_families,fourier,gs,full,best,0.1874572600061992
1.0,1.0,deeponet_families,fourier,gs,full,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,gs,full,mean_squared_ratio,0.10141968607123499
1.0,1.0,deeponet_families,fourier,gs,complement,n,24
1.0,1.0,deeponet_families,fourier,gs,complement,mean,0.2512589432450932
1.0,1.0,deeponet_families,fourier,gs,complement,median,0.24766472035034892
1.0,1.0,deeponet_families,fourier,gs,complement,p95,0.3085676491136082
1.0,1.0,deeponet_families,fourier,gs,complement,p99,0.34068381027538863
1.0,1.0,deeponet_families,fourier,gs,complement,worst,0.3501311350651516
1.0,1.0,deeponet_families,fourier,gs,complement,best,0.14293560154849624
1.0,1.0,deeponet_families,fourier,gs,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,gs,complement,mean_squared_ratio,0.06515209850495839
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,n,24
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,mean,0.14884045191037376
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,median,0.14709588155304407
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,p95,0.2012600742132356
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,p99,0.2125532115716769
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,worst,0.21568585652745642
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,best,0.06403114310630423
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,sgs_ssor,full,mean_squared_ratio,0.023591000519018756
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,n,24
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,mean,0.1319929992184016
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,median,0.13236294711884788
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,p95,0.17966515099963082
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,p99,0.1860510913928486
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,worst,0.1878580738436805
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,best,0.061849098006904746
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,sgs_ssor,complement,mean_squared_ratio,0.018384998624228408
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,n,24
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,mean,0.40065288166945007
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,median,0.39958758046826903
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,p95,0.495369734587086
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,p99,0.5176010335176825
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,worst,0.5239340003848268
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,best,0.23711414071471476
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,deeponet_scale,full,mean_squared_ratio,0.16629481459407583
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,n,24
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,mean,0.3724374587276668
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,median,0.37462507307975035
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,p95,0.48672852166579383
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,p99,0.5023764101176993
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,worst,0.506836366736715
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,best,0.19338261724288305
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,frac_above_1,0.0
1.0,1.0,deeponet_families,fourier,deeponet_scale,complement,mean_squared_ratio,0.14650266821537766
1.0,1.0,deeponet_families,weak,jacobi,full,n,24
1.0,1.0,deeponet_families,weak,jacobi,full,mean,0.5742473452787785
1.0,1.0,deeponet_families,weak,jacobi,full,median,0.5773901052102772
1.0,1.0,deeponet_families,weak,jacobi,full,p95,0.7093222876753397
1.0,1.0,deeponet_families,weak,jacobi,full,p99,0.7104534847584293
1.0,1.0,deeponet_families,weak,jacobi,full,worst,0.7104534847584295
1.0,1.0,deeponet_families,weak,jacobi,full,best,0.4471930315153058
1.0,1.0,deeponet_families,weak,jacobi,full,frac_above_1,0.0
1.0,1.0,deeponet_families,weak,jacobi,full,mean_squared_ratio,0.3361995132780322
1.0,1.0,deeponet_families,weak,jacobi,complement,n,24
